oes 2019,oes 2019 title,abstract analytical,abstract interpersonal,nonroutine manual,routine cognitive,routine manual,abstract routine difference,"automation risk category (1 low, 10 high)"
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,-0.082385876,0.520320475,-0.792370663,0.6218488,-0.68481366,-0.417400924,6
47-1011.03,Solar Energy Installation Managers,0.473546177,0.922701076,-0.337697105,-0.234831513,-0.078861335,0.744857301,5
47-2011.00,Boilermakers,-0.457685168,0.018781045,-1.384951354,-0.292334224,-1.178654803,-3.294844504,8
47-2021.00,Brickmasons and Blockmasons,-0.441545026,-0.042634532,-1.187072238,0.359638494,-0.903342424,-2.214955726,7
47-2022.00,Stonemasons,-0.615767657,0.265087407,-1.144216542,0.902949651,-0.077443963,-0.669391103,6
47-2031.00,Carpenters,-0.658996082,0.1293135,-1.357327467,0.161318602,-0.73475346,-2.460444908,7
47-2041.00,Carpet Installers,-1.11091649,-0.822979955,-1.113208138,0.666811475,-0.488256839,-2.868549947,7
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",-0.479171454,-0.682242528,-0.633379546,0.632607844,0.040601226,-1.121584457,6
47-2043.00,Floor Sanders and Finishers,-0.196445733,0.067892252,-1.163683938,0.016233395,-1.547416746,-2.823420771,7
47-2044.00,Tile and Stone Setters,-0.770646546,-0.639494731,-0.745445738,0.102021652,-0.44844463,-2.502009994,7
47-2051.00,Cement Masons and Concrete Finishers,-0.845719263,-0.190417906,-1.4402177,-0.399151218,-2.022364295,-4.897870382,9
47-2053.00,Terrazzo Workers and Finishers,-0.905053725,-0.338157005,-1.122354118,-0.315415122,-1.29279306,-3.97377303,8
47-2061.00,Construction Laborers,0.344963736,-0.263813225,-1.311113871,0.109471796,-0.968977857,-2.089469422,7
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",-0.959371885,-0.1163747,-1.317171229,0.541396809,-1.644199403,-3.495720407,8
47-2072.00,Pile Driver Operators,-0.577952378,-1.005575379,-1.783090114,-0.245228518,-1.483404289,-5.095250678,9
47-2073.00,Operating Engineers and Other Construction Equipment Operators,0.013312736,0.201706353,-1.615729925,0.749090846,-1.902223119,-2.553843109,7
47-2081.00,Drywall and Ceiling Tile Installers,-1.467442602,-1.180384566,-1.002406953,-0.340513761,-0.428327145,-4.419075028,8
47-2082.00,Tapers,-1.926005322,-1.574053943,-0.893833416,0.75783763,-0.419453813,-4.055508864,8
47-2111.00,Electricians,-0.457020786,-0.553768941,-1.067674347,0.003265775,-0.393507523,-2.468705823,7
47-2121.00,Glaziers,-0.800905574,-0.987249075,-1.010817517,-0.042239189,-0.061394804,-2.902606159,7
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",-0.903368603,-0.852904783,-1.230520507,0.528646041,-0.664664087,-3.122811939,8
47-2132.00,"Insulation Workers, Mechanical",-0.797745264,-0.337049139,-0.798041748,0.755004143,-0.218006371,-1.395838378,6
47-2141.00,"Painters, Construction and Maintenance",-0.276264325,0.23154621,-0.997744085,0.112534052,-0.921789946,-1.851718094,7
47-2142.00,Paperhangers,-1.577765812,-0.568224668,-1.083233243,0.386289194,-0.189171674,-3.032106203,7
47-2151.00,Pipelayers,-0.877541004,-0.477479575,-1.395665578,-0.26958754,-1.751804351,-4.772078048,9
47-2152.00,"Plumbers, Pipefitters, and Steamfitters",-0.768611707,-0.885733925,-1.238223881,0.180612367,-0.508855577,-3.220812723,8
47-2152.04,Solar Thermal Installers and Technicians,0.381249802,-0.184252133,-0.708766642,0.485639498,0.078739243,0.052609768,5
47-2161.00,Plasterers and Stucco Masons,-0.519911583,0.033496817,-1.153778843,-0.210470999,-1.026814717,-2.877479326,7
47-2171.00,Reinforcing Iron and Rebar Workers,-0.987782249,-0.530207731,-1.124368163,0.317757969,-0.985913634,-3.310513808,8
47-2181.00,Roofers,-0.506110899,0.258081782,-0.964228785,0.091571498,-0.736896484,-1.857582888,7
47-2211.00,Sheet Metal Workers,-0.547614362,-0.127654849,-1.243924137,-0.524249224,-0.999119167,-3.44256174,8
47-2221.00,Structural Iron and Steel Workers,-1.075529274,-0.71378873,-1.603106639,0.11066166,-0.936641102,-4.218404085,8
47-2231.00,Solar Photovoltaic Installers,-0.177638792,0.128036231,-0.975184834,-0.262591954,-0.154611209,-1.441990559,6
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",-0.649892207,-0.950112477,-1.295933618,0.154099406,-1.379551525,-4.121390421,8
47-3012.00,Helpers--Carpenters,-0.373220343,-1.390807796,-1.16207732,0.325160075,-0.971832611,-3.572777996,8
47-3013.00,Helpers--Electricians,-1.419817632,-0.279295802,-1.011028551,-1.116092328,-0.066327189,-3.892561501,8
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",-1.755157506,-1.281791646,-0.858441954,0.376787259,-0.44083815,-3.959441996,8
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",-0.409819951,-0.405011335,-1.084163359,-0.165554504,-0.910092937,-2.974642087,7
47-3016.00,Helpers--Roofers,0.067288422,0.214491297,-1.385185153,-0.340248549,-0.571077404,-2.014731386,7
47-4011.00,Construction and Building Inspectors,-0.351364463,-0.015223547,0.073552999,0.513871735,0.635567264,0.856403987,5
47-4011.01,Energy Auditors,0.171614213,-0.324808772,-0.181520454,-0.03740568,0.583000723,0.21088003,5
47-4021.00,Elevator and Escalator Installers and Repairers,-0.367027305,0.073885787,-1.152846721,-0.010927991,-0.16117716,-1.618093391,6
47-4031.00,Fence Erectors,-1.290349664,0.083357772,-1.170461136,0.317917523,-1.036341698,-3.095877203,7
47-4041.00,Hazardous Materials Removal Workers,-0.527626116,-0.089750743,-0.761419141,-0.201410856,-0.650595248,-2.230802105,7
47-4051.00,Highway Maintenance Workers,-0.238812173,0.511851866,-1.414272889,-0.503770544,-1.353154933,-2.998158674,7
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,0.118073401,0.095547985,-1.62730371,0.216348535,-1.406166093,-2.603499882,7
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,-0.656502224,-0.971611151,-1.537582015,0.570883975,-0.777945195,-3.37275661,8
47-4091.00,Segmental Pavers,-0.270846824,1.05027085,-1.013909349,0.150420858,-0.433808169,-0.517872633,6
47-4099.03,Weatherization Installers and Technicians,-0.073090046,0.24665266,-1.095634212,0.262129458,-0.317769361,-0.9777115,6
47-5011.00,"Derrick Operators, Oil and Gas",-1.321908523,-0.462078595,-1.413025947,-0.350389653,-1.549592886,-5.096995605,9
47-5012.00,"Rotary Drill Operators, Oil and Gas",-0.295108432,0.303051935,-1.35100479,-0.933106588,-1.561853936,-3.838021811,8
47-5013.00,"Service Unit Operators, Oil and Gas",-0.228721319,1.324749123,-1.317429225,-0.60244167,-1.823562961,-2.647406051,7
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",-0.441691277,0.28831002,-2.163773636,0.207504923,-1.746817747,-3.856467717,8
47-5023.00,"Earth Drillers, Except Oil and Gas",-0.385793113,-0.67873156,-1.584484245,0.781423256,-1.496319459,-3.363905121,8
47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",-0.104772304,0.268554473,-1.343540027,-0.599516143,-1.081324473,-2.860598475,7
47-5041.00,Continuous Mining Machine Operators,-0.770673279,-0.7827051,-1.579552221,-0.040611794,-1.735900782,-4.909443176,9
47-5043.00,"Roof Bolters, Mining",-0.991363808,-1.05587166,-1.867400684,-0.823914285,-2.379381294,-7.117931731,10
47-5044.00,"Loading and Moving Machine Operators, Underground Mining",-2.015722814,-1.533563319,-1.434105438,1.030508196,-1.015626994,-4.968510368,9
47-5051.00,"Rock Splitters, Quarry",-1.52215032,-1.470421134,-0.927826419,-0.051077482,-0.701032987,-4.672508342,9
47-5071.00,"Roustabouts, Oil and Gas",-1.276678156,-1.098813885,-1.134005783,-0.435541081,-1.379588459,-5.324627365,9
47-5081.00,Helpers--Extraction Workers,0.507998282,0.622622818,-1.885502225,0.260583834,-1.863485563,-2.357782854,7
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.346798386,0.529599749,-0.792046,-0.170519475,-0.141064822,-0.227232162,5
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",-0.776186456,-1.560936072,-0.900286746,0.207283922,0.110315793,-2.919809558,7
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",-0.611318164,-0.57413344,-0.9182259,-0.028868989,-0.194887104,-2.327433597,7
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",0.056086714,-0.928924479,-1.398026987,-0.47127741,0.191070139,-2.551072024,7
49-2091.00,Avionics Technicians,-0.022628268,-0.186620212,-0.601373582,-0.120482283,-0.121111949,-1.052216294,6
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",-0.000319233,0.081800359,-1.175728243,-0.309707769,-1.111502545,-2.515457432,7
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",-0.201115422,-0.480320467,-0.990303178,0.03691701,-1.050495106,-2.685317164,7
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.02824165,-0.067420228,-0.444736932,0.004443561,-0.52182364,-1.001295589,6
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",-0.000791963,-0.36685948,-0.804922716,-1.127359079,-0.380727496,-2.680660734,7
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",0.382107604,0.37815397,-1.152137831,-0.56916588,-0.554357029,-1.515399165,6
49-2097.00,Audiovisual Equipment Installers and Repairers,-0.587860118,-0.742269556,-0.728486744,0.874795037,0.446261576,-0.737559804,6
49-2098.00,Security and Fire Alarm Systems Installers,-0.098192081,-0.480533028,-0.897156457,0.248945787,0.552415266,-0.674520513,6
49-3011.00,Aircraft Mechanics and Service Technicians,0.386530882,0.187620129,-1.171978091,-0.406555503,-0.335891449,-1.340274032,6
49-3021.00,Automotive Body and Related Repairers,-0.348496655,-0.526652487,-1.222087527,0.002655442,-0.660829114,-2.75541034,7
49-3022.00,Automotive Glass Installers and Repairers,-1.396347167,-1.806795765,-0.729325557,-0.542830509,0.00320059,-4.472098409,8
49-3023.00,Automotive Service Technicians and Mechanics,-0.103463332,-0.533916874,-1.416010592,-0.173149676,-0.505587754,-2.732128228,7
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,-0.599066095,-0.463542654,-1.225576855,1.256165096,-0.32641946,-1.358439969,6
49-3041.00,Farm Equipment Mechanics and Service Technicians,-0.373425319,-0.961226266,-1.500756751,-0.127864382,-0.469089394,-3.432362113,8
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",0.280148089,-0.225121885,-1.666112734,-0.42659947,-1.063184945,-3.100870945,7
49-3043.00,Rail Car Repairers,-0.717914168,-0.594658793,-1.348481259,0.308684578,-0.562527723,-2.914897364,7
49-3051.00,Motorboat Mechanics and Service Technicians,-0.549671666,-0.945011205,-1.254968998,0.511198493,-0.165567745,-2.404021121,7
49-3052.00,Motorcycle Mechanics,0.255059765,-0.658713298,-1.519200264,-0.487559089,-0.866941074,-3.277353959,8
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,-0.513281388,-0.65597197,-1.090626482,0.203976352,-0.129154555,-2.185058042,7
49-3091.00,Bicycle Repairers,-0.996160258,0.104871577,-0.728636059,0.605388521,-0.266160214,-1.280696434,6
49-3092.00,Recreational Vehicle Service Technicians,-0.278176369,-0.421964056,-1.116402874,-0.135812765,-0.284006697,-2.236362761,7
49-3093.00,Tire Repairers and Changers,-0.418115609,-0.707413604,-1.335832561,-0.588376704,-0.947452393,-3.997190871,8
49-9011.00,Mechanical Door Repairers,-0.689878745,-0.863945689,-1.380362898,0.245176369,-0.189166955,-2.878177919,7
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",-0.27648271,-0.115968891,-0.983710516,-0.219603818,-0.603832544,-2.19959848,7
49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.191997493,0.620747816,-1.262399995,0.257344948,-0.390518053,-0.58282779,6
49-9031.00,Home Appliance Repairers,-0.642994258,-0.710294818,-1.282156956,0.154300191,0.161292113,-2.319853727,7
49-9041.00,Industrial Machinery Mechanics,0.006664259,-0.526366671,-1.217453796,0.171559032,-0.715610038,-2.281207214,7
49-9043.00,"Maintenance Workers, Machinery",-0.936149901,-0.939441073,-0.868834174,-0.098346253,-0.940452462,-3.783223864,8
49-9044.00,Millwrights,-0.113875878,0.765308128,-1.627828793,-0.769609597,-0.859614855,-2.605620995,7
49-9045.00,"Refractory Materials Repairers, Except Brickmasons",-0.916814094,-1.061840646,-1.091731825,-0.325549577,-1.096858364,-4.492794506,8
49-9051.00,Electrical Power-Line Installers and Repairers,-1.022841392,-0.143070794,-1.685291581,-0.099692901,-1.011962616,-3.962859284,8
49-9052.00,Telecommunications Line Installers and Repairers,-0.07478918,-0.434615159,-1.26915923,-0.185132527,-0.656748432,-2.620444527,7
49-9061.00,Camera and Photographic Equipment Repairers,-0.950309142,-1.563890168,-0.014267091,0.059436734,0.295307574,-2.173722093,7
49-9062.00,Medical Equipment Repairers,0.088357427,-0.530493174,-0.399256997,0.405704953,0.095661337,-0.340026454,6
49-9063.00,Musical Instrument Repairers and Tuners,-0.502021557,-0.324618939,-0.568996311,-0.444084101,-0.559537115,-2.399258022,7
49-9064.00,Watch and Clock Repairers,-0.394168061,-2.000490965,-0.374339871,0.298861786,0.136955157,-2.333181955,7
49-9071.00,"Maintenance and Repair Workers, General",0.267914603,-0.444971064,-1.28676161,0.489268886,-1.096779177,-2.071328362,7
49-9081.00,Wind Turbine Service Technicians,-0.036073759,-0.048263159,-1.349300807,-0.779369616,-1.548235889,-3.761243231,8
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",-1.509944558,-2.108897626,-0.81364275,-0.319461829,-0.117646999,-4.869593762,9
49-9092.00,Commercial Divers,-0.542796655,0.039676438,-1.552651438,-0.1158029,-0.553504127,-2.725078681,7
49-9094.00,Locksmiths and Safe Repairers,-0.229707694,0.200321013,-1.025061994,-0.383710981,-0.428335166,-1.866494822,7
49-9095.00,Manufactured Building and Mobile Home Installers,0.151318288,1.763548803,-1.905965611,0.33729753,-1.446845981,-1.100646971,6
49-9096.00,Riggers,-0.644896557,-0.8266045,-0.908280582,-0.557241127,-1.343399402,-4.280422169,8
49-9097.00,Signal and Track Switch Repairers,-1.34800448,-1.176470459,-1.288053687,0.565808611,-0.1752063,-3.421926316,8
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",-1.035657899,-0.207702437,-1.036582479,0.099823663,-0.393856097,-2.573975249,7
49-9099.01,Geothermal Technicians,-0.022900592,-0.169332307,-0.9679783,0.081307922,-0.82116007,-1.900063348,7
51-1011.00,First-Line Supervisors of Production and Operating Workers,0.12206836,1.167630275,-0.395227191,0.054921903,-0.952466666,-0.003073319,5
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",-0.134011281,-0.176007635,-0.920198731,-0.535902329,-1.066120151,-2.832240127,7
51-2021.00,"Coil Winders, Tapers, and Finishers",-1.005227873,-0.62696592,-0.480645209,-0.965419791,-1.086029806,-4.164288598,8
51-2022.00,Electrical and Electronic Equipment Assemblers,-0.731458008,-0.558329859,-0.441148594,-0.02363471,-0.863739227,-2.618310398,7
51-2023.00,Electromechanical Equipment Assemblers,-0.994480612,-1.148937183,-0.233500136,-0.495097763,-0.603044608,-3.475060302,8
51-2031.00,Engine and Other Machine Assemblers,-0.980876754,-0.764710812,-1.022689499,-0.389666149,-1.100722933,-4.258666147,8
51-2041.00,Structural Metal Fabricators and Fitters,-1.296808988,-1.725447105,-0.689462458,0.156524993,-0.484056072,-4.03924963,8
51-2051.00,Fiberglass Laminators and Fabricators,-0.656280476,-0.410342431,-0.755332268,-0.821749229,-1.174884796,-3.8185892,8
51-2061.00,Timing Device Assemblers and Adjusters,-0.551484154,-1.028681578,-0.294509224,1.034525428,0.525690477,-0.314459051,6
51-2092.00,Team Assemblers,-0.958022081,-0.059724096,-0.663257343,-0.444433371,-1.055109224,-3.180546114,8
51-3011.00,Bakers,-1.208239516,-0.659988104,0.068503267,0.22393142,-0.693281989,-2.269074922,7
51-3021.00,Butchers and Meat Cutters,-0.962754245,0.147989952,-0.653125895,0.00217093,-1.415590918,-2.881310176,7
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",-0.406394779,0.165327638,-0.60907449,-1.154411189,-1.914381304,-3.918934124,8
51-3023.00,Slaughterers and Meat Packers,-1.589208154,-1.423129848,-0.13307872,-0.002444718,-1.450362004,-4.598223444,9
